Timestamp,Muka_Air_Tanah,Data_Air_Tanah,Kedalaman_Sumur,Kedalaman_Sensor,Diameter_Sumur,Discharge_Status
2026-01-01 00:00:00,1.5993428306022466,98.40065716939776,100.0,55.0,0.25,0
2026-01-01 01:00:00,1.472347139765763,98.52765286023424,100.0,55.0,0.25,0
2026-01-01 02:00:00,1.6295377076201385,98.37046229237986,100.0,55.0,0.25,0
2026-01-01 03:00:00,1.8046059712816052,98.1953940287184,100.0,55.0,0.25,0
2026-01-01 04:00:00,1.4531693250553328,98.54683067494467,100.0,55.0,0.25,0
2026-01-01 05:00:00,1.453172608610164,98.54682739138984,100.0,55.0,0.25,0
2026-01-01 06:00:00,5.790842563101478,94.20915743689852,100.0,55.0,0.25,1
2026-01-01 07:00:00,9.00723694583058,90.99276305416942,100.0,55.0,0.25,1
2026-01-01 08:00:00,11.631792622813009,88.36820737718699,100.0,55.0,0.25,1
2026-01-01 09:00:00,14.275346383717192,85.72465361628281,100.0,55.0,0.25,1
2026-01-01 10:00:00,16.149125680187506,83.85087431981249,100.0,55.0,0.25,1
2026-01-01 11:00:00,17.912391885223446,82.08760811477656,100.0,55.0,0.25,1
2026-01-01 12:00:00,19.55309961486008,80.44690038513991,100.0,55.0,0.25,1
2026-01-01 13:00:00,20.396345037533287,79.60365496246672,100.0,55.0,0.25,1
2026-01-01 14:00:00,18.506117411315756,81.49388258868424,100.0,55.0,0.25,0
2026-01-01 15:00:00,17.003533374188333,82.99646662581166,100.0,55.0,0.25,0
2026-01-01 16:00:00,15.351825567965989,84.64817443203401,100.0,55.0,0.25,0
2026-01-01 17:00:00,14.21180207934864,85.78819792065136,100.0,55.0,0.25,0
2026-01-01 18:00:00,12.702452536442385,87.29754746355762,100.0,55.0,0.25,0
2026-01-01 19:00:00,11.463190876124905,88.53680912387509,100.0,55.0,0.25,0
2026-01-01 20:00:00,11.014216208537077,88.98578379146292,100.0,55.0,0.25,0
2026-01-01 21:00:00,9.753822549180184,90.24617745081981,100.0,55.0,0.25,0
2026-01-01 22:00:00,8.982585669287324,91.01741433071268,100.0,55.0,0.25,0
2026-01-01 23:00:00,7.937222388272074,92.06277761172792,100.0,55.0,0.25,0
2026-01-02 00:00:00,7.441078278058253,92.55892172194174,100.0,55.0,0.25,0
2026-01-02 01:00:00,6.967143858608933,93.03285614139106,100.0,55.0,0.25,0
2026-01-02 02:00:00,6.170264691115803,93.8297353088842,100.0,55.0,0.25,0
2026-01-02 03:00:00,5.985556669609371,94.01444333039063,100.0,55.0,0.25,0
2026-01-02 04:00:00,5.349247621362452,94.65075237863755,100.0,55.0,0.25,0
2026-01-02 05:00:00,5.014099073452937,94.98590092654706,100.0,55.0,0.25,0
2026-01-02 06:00:00,8.391230827453974,91.60876917254603,100.0,55.0,0.25,1
2026-01-02 07:00:00,11.805291964316663,88.19470803568333,100.0,55.0,0.25,1
2026-01-02 08:00:00,13.916911433355057,86.08308856664495,100.0,55.0,0.25,1
2026-01-02 09:00:00,15.820127060766067,84.17987293923393,100.0,55.0,0.25,1
2026-01-02 10:00:00,17.991427841994298,82.0085721580057,100.0,55.0,0.25,1
2026-01-02 11:00:00,19.108712300643408,80.8912876993566,100.0,55.0,0.25,1
2026-01-02 12:00:00,20.691721595042917,79.30827840495708,100.0,55.0,0.25,1
2026-01-02 13:00:00,21.360522519859718,78.63947748014029,100.0,55.0,0.25,1
2026-01-02 14:00:00,19.46157368039242,80.53842631960758,100.0,55.0,0.25,0
2026-01-02 15:00:00,17.943862048328718,82.05613795167127,100.0,55.0,0.25,0
2026-01-02 16:00:00,16.411734137038486,83.58826586296152,100.0,55.0,0.25,0
